case_number,requirement_id,title,precondition,steps,expected_result,evidence_requirements,priority,automation_decision
TC-V1-001,REQ-V1-001,生命周期场景1,确认设备处于可测试状态,执行合成场景 1,设备返回与生命周期规则一致,状态和输出可追踪,P0,优先自动化
TC-V1-002,REQ-V1-002,采集任务场景2,确认设备处于可测试状态,执行合成场景 2,设备返回与采集任务规则一致,状态和输出可追踪,P0,适合自动化
TC-V1-003,REQ-V1-003,配置场景3,确认设备处于可测试状态,执行合成场景 3,设备返回与配置规则一致,状态和输出可追踪,P0,条件满足后自动化
TC-V1-004,REQ-V1-004,状态流转场景4,确认设备处于可测试状态,执行合成场景 4,设备返回与状态流转规则一致,状态和输出可追踪,P0,保留人工执行
TC-V1-005,REQ-V1-005,存储场景5,确认设备处于可测试状态,执行合成场景 5,设备返回与存储规则一致,状态和输出可追踪,P0,优先自动化
TC-V1-006,REQ-V1-006,连接场景6,确认设备处于可测试状态,执行合成场景 6,设备返回与连接规则一致,状态和输出可追踪,P0,适合自动化
TC-V1-007,REQ-V1-007,控制页面场景7,确认设备处于可测试状态,执行合成场景 7,设备返回与控制页面规则一致,状态和输出可追踪,P0,条件满足后自动化
TC-V1-008,REQ-V1-008,提示反馈场景8,确认设备处于可测试状态,执行合成场景 8,设备返回与提示反馈规则一致,状态和输出可追踪,P0,保留人工执行
TC-V1-009,REQ-V1-009,异常恢复场景9,确认设备处于可测试状态,执行合成场景 9,设备返回与异常恢复规则一致,状态和输出可追踪,P0,优先自动化
TC-V1-010,REQ-V1-010,数据输出场景10,确认设备处于可测试状态,执行合成场景 10,设备返回与数据输出规则一致,状态和输出可追踪,P0,适合自动化
TC-V1-011,REQ-V1-011,同步场景11,确认设备处于可测试状态,执行合成场景 11,设备返回与同步规则一致,状态和输出可追踪,P0,条件满足后自动化
TC-V1-012,REQ-V1-012,升级回滚场景12,确认设备处于可测试状态,执行合成场景 12,设备返回与升级回滚规则一致,状态和输出可追踪,P0,保留人工执行
TC-V1-013,REQ-V1-013,生命周期场景13,确认设备处于可测试状态,执行合成场景 13,设备返回与生命周期规则一致,状态和输出可追踪,P1,优先自动化
TC-V1-014,REQ-V1-014,采集任务场景14,确认设备处于可测试状态,执行合成场景 14,设备返回与采集任务规则一致,状态和输出可追踪,P1,适合自动化
TC-V1-015,REQ-V1-015,配置场景15,确认设备处于可测试状态,执行合成场景 15,设备返回与配置规则一致,状态和输出可追踪,P1,条件满足后自动化
TC-V1-016,REQ-V1-016,状态流转场景16,确认设备处于可测试状态,执行合成场景 16,设备返回与状态流转规则一致,状态和输出可追踪,P1,保留人工执行
TC-V1-017,REQ-V1-017,存储场景17,确认设备处于可测试状态,执行合成场景 17,设备返回与存储规则一致,状态和输出可追踪,P1,优先自动化
TC-V1-018,REQ-V1-018,连接场景18,确认设备处于可测试状态,执行合成场景 18,设备返回与连接规则一致,状态和输出可追踪,P1,适合自动化
TC-V1-019,REQ-V1-019,控制页面场景19,确认设备处于可测试状态,执行合成场景 19,设备返回与控制页面规则一致,状态和输出可追踪,P1,条件满足后自动化
